model,dataset,large_batch,small_batch,epoch_time
resnet50,cifar10,32,32,60540.05
resnet50,cifar10,64,32,54531.24
resnet50,cifar10,64,64,43102.25
resnet50,cifar10,128,32,50553.25
resnet50,cifar10,128,64,40106.80
resnet50,cifar10,128,128,32367.24
resnet50,cifar10,256,32,49377.35
resnet50,cifar10,256,64,37925.56
resnet50,cifar10,256,128,30829.36
resnet50,cifar10,256,256,29647.57
resnet50,cifar10,512,32,48393.56
resnet50,cifar10,512,64,36764.74
resnet50,cifar10,512,128,29946.51
resnet50,cifar10,512,256,28652.41
resnet50,cifar10,512,512,30734.93
vgg19,cifar10,32,32,133261.69
vgg19,cifar10,64,32,99164.97
vgg19,cifar10,64,64,83110.04
vgg19,cifar10,128,32,81543.05
vgg19,cifar10,128,64,66401.97
vgg19,cifar10,128,128,59501.98
vgg19,cifar10,256,32,72965.92
vgg19,cifar10,256,64,58229.10
vgg19,cifar10,256,128,50903.75
vgg19,cifar10,256,256,50756.38
vgg19,cifar10,512,32,68184.71
vgg19,cifar10,512,64,53512.86
vgg19,cifar10,512,128,46618.31
vgg19,cifar10,512,256,46588.03
vgg19,cifar10,512,512,45668.55
